archived_on,date_ym,n,n_id,n_id_distinct,dataset
24/04/2025,2018-06,2665,2665,2660,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-07,76815,76815,58075,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-08,57720,57720,54130,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-01,125830,125825,63480,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-07,62180,62180,58070,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-09,103420,103420,58990,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2018-12,38775,38775,37815,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2018-05,1590,1590,1590,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-01,118515,118515,59780,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-01,51175,51175,49690,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-05,59530,59525,54155,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-12,102620,102620,52560,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-04,61265,61265,57095,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-07,73645,73645,61500,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-06,62325,62325,56040,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2018-08,17885,17885,17630,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-03,123570,123570,61345,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-09,99435,99430,54825,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-01,122365,122365,65035,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-09,57660,57660,54415,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-11,112875,112865,58715,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-02,108985,108985,57560,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-09,94000,94000,57240,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-08,87495,87495,55630,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-10,109735,109730,59220,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-10,104130,104125,56990,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-03,51975,51975,50420,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-05,72270,72265,25895,msds_v2_diagnoses_and_history
24/04/2025,2014-09,4680,4680,1375,msds_v2_diagnoses_and_history
24/04/2025,1981-09,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1997-09,50,50,50,msds_v2_diagnoses_and_history
24/04/2025,2007-04,95,95,70,msds_v2_diagnoses_and_history
24/04/2025,2020-05,49710,49710,19050,msds_v2_diagnoses_and_history
24/04/2025,2015-06,5775,5775,1575,msds_v2_diagnoses_and_history
24/04/2025,2010-01,16700,16700,14250,msds_v2_diagnoses_and_history
24/04/2025,2018-02,10805,10805,2980,msds_v2_diagnoses_and_history
24/04/2025,2008-10,510,510,260,msds_v2_diagnoses_and_history
24/04/2025,2022-10,149270,149265,44985,msds_v2_diagnoses_and_history
24/04/2025,1992-06,110,110,105,msds_v2_diagnoses_and_history
24/04/2025,1999-02,80,80,70,msds_v2_diagnoses_and_history
24/04/2025,1989-07,45,45,40,msds_v2_diagnoses_and_history
24/04/2025,1970-01,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1995-01,19270,19270,17325,msds_v2_diagnoses_and_history
24/04/2025,2016-11,8160,8160,2085,msds_v2_diagnoses_and_history
24/04/2025,2002-06,110,110,105,msds_v2_diagnoses_and_history
24/04/2025,1989-08,35,35,30,msds_v2_diagnoses_and_history
24/04/2025,1990-12,35,35,35,msds_v2_diagnoses_and_history
24/04/2025,2022-09,138655,138655,42075,msds_v2_diagnoses_and_history
24/04/2025,2017-09,9975,9975,2700,msds_v2_diagnoses_and_history
24/04/2025,2008-04,370,370,205,msds_v2_diagnoses_and_history
24/04/2025,1980-04,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1984-04,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2021-12,123925,123925,36320,msds_v2_diagnoses_and_history
24/04/2025,2011-08,775,775,400,msds_v2_diagnoses_and_history
24/04/2025,1981-05,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1986-05,35,35,35,msds_v2_diagnoses_and_history
24/04/2025,1996-08,60,60,50,msds_v2_diagnoses_and_history
24/04/2025,2019-12,64480,64480,19300,msds_v2_diagnoses_and_history
24/04/2025,2003-09,65,65,50,msds_v2_diagnoses_and_history
24/04/2025,1993-12,50,50,45,msds_v2_diagnoses_and_history
24/04/2025,1987-04,35,35,35,msds_v2_diagnoses_and_history
